id,County,SubCounty,Ward 
1,Mombasa,changamwe,port reitz
2,Mombasa,changamwe,kipevu
3,Mombasa,changamwe,airport
4,Mombasa,changamwe,changamwe
5,Mombasa,changamwe,chaani
6,Mombasa,jomvu,jomvu kuu
7,Mombasa,jomvu,miritini
8,Mombasa,jomvu,mikindani
9,Mombasa,kisauni,mjambere
10,Mombasa,kisauni,junda
11,Mombasa,kisauni,bamburi
12,Mombasa,kisauni,mwakirunge
13,Mombasa,kisauni,mtopanga
14,Mombasa,kisauni,magogoni
15,Mombasa,kisauni,shanzu
16,Mombasa,nyali,frere town
17,Mombasa,nyali,ziwa la ng'ombe
18,Mombasa,nyali,mkomani
19,Mombasa,nyali,kongowea
20,Mombasa,nyali,kadzandani
21,Mombasa,likoni,mtongwe
22,Mombasa,likoni,shika adabu
23,Mombasa,likoni,bofu
24,Mombasa,likoni,likoni
25,Mombasa,likoni,timbwani
26,Mombasa,mvita,mji wa kale makadara
27,Mombasa,mvita,tudor
28,Mombasa,mvita,tononoka
29,Mombasa,mvita,shimanzi ganjoni
30,Mombasa,mvita,majengo
31,Kwale,msambweni,gombatobongwe
32,Kwale,msambweni,ukunda
33,Kwale,msambweni,kinondo
34,Kwale,msambweni,ramisi
35,Kwale,lungalunga,pongwekikoneni
36,Kwale,lungalunga,dzombo
37,Kwale,lungalunga,mwereni
38,Kwale,lungalunga,vanga
39,Kwale,matuga,tsimba golini
40,Kwale,matuga,waa
41,Kwale,matuga,tiwi
42,Kwale,matuga,kubo south
43,Kwale,matuga,mkongani
44,Kwale,kinango,nadavaya
45,Kwale,kinango,puma
46,Kwale,kinango,kinango
47,Kwale,kinango,mackinnon-road
48,Kwale,kinango,chengoni samburu
49,Kwale,kinango,mwavumbo
50,Kwale,kinango,kasemeni
51,Kilifi,kilifi north,tezo
52,Kilifi,kilifi north,sokoni
53,Kilifi,kilifi north,kibarani
54,Kilifi,kilifi north,dabaso
55,Kilifi,kilifi north,matsangoni
56,Kilifi,kilifi north,watamu
57,Kilifi,kilifi north,mnarani
58,Kilifi,kilifi south,junju
59,Kilifi,kilifi south,mwarakaya
60,Kilifi,kilifi south,shimo la tewa
61,Kilifi,kilifi south,chasimba
62,Kilifi,kilifi south,mtepeni
63,Kilifi,kaloleni,mariakani
64,Kilifi,kaloleni,kayafungo
65,Kilifi,kaloleni,kaloleni
66,Kilifi,kaloleni,mwanamwinga
67,Kilifi,rabai,mwawesa
68,Kilifi,rabai,ruruma
69,Kilifi,rabai,kambe ribe
70,Kilifi,rabai,rabai kisurutini
71,Kilifi,ganze,ganze
72,Kilifi,ganze,bamba
73,Kilifi,ganze,jaribuni
74,Kilifi,ganze,sokoke
75,Kilifi,malindi,jilore
76,Kilifi,malindi,kakuyuni
77,Kilifi,malindi,ganda
78,Kilifi,malindi,malindi town
79,Kilifi,malindi,shella
80,Kilifi,magarini,marafa
81,Kilifi,magarini,magarini
82,Kilifi,magarini,gongoni
83,Kilifi,magarini,adu
84,Kilifi,magarini,garashi
85,Kilifi,magarini,sabaki
86,Tana River,garsen,kipini east
87,Tana River,garsen,garsen south
88,Tana River,garsen,kipini west
89,Tana River,garsen,garsen central
90,Tana River,garsen,garsen west
91,Tana River,garsen,garsen north
92,Tana River,galole,kinakomba
93,Tana River,galole,mikinduni
94,Tana River,galole,chewani
95,Tana River,galole,wayu
96,Tana River,bura,chewele
97,Tana River,bura,bura
98,Tana River,bura,bangale
99,Tana River,bura,sala
100,Tana River,bura,madogo
101,Lamu,lamu east,faza
102,Lamu,lamu east,kiunga
103,Lamu,lamu east,basuba
104,Lamu,lamu west,shella
105,Lamu,lamu west,mkomani
106,Lamu,lamu west,hindi
107,Lamu,lamu west,mkunumbi
108,Lamu,lamu west,hongwe
109,Lamu,lamu west,witu
110,Lamu,lamu west,bahari
111,Taita-Taveta,taveta,chala
112,Taita-Taveta,taveta,mahoo
113,Taita-Taveta,taveta,bomeni
114,Taita-Taveta,taveta,mboghoni
115,Taita-Taveta,taveta,mata
116,Taita-Taveta,wundanyi,wundanyi mbale
117,Taita-Taveta,wundanyi,werugha
118,Taita-Taveta,wundanyi,wumingu kishushe
119,Taita-Taveta,wundanyi,mwanda mgange
120,Taita-Taveta,mwatate,rong'e
121,Taita-Taveta,mwatate,mwatate
122,Taita-Taveta,mwatate,bura
123,Taita-Taveta,mwatate,chawia
124,Taita-Taveta,mwatate,wusi kishamba
125,Taita-Taveta,voi,mbololo
126,Taita-Taveta,voi,sagalla
127,Taita-Taveta,voi,kaloleni
128,Taita-Taveta,voi,marungu
129,Taita-Taveta,voi,kasigau
130,Taita-Taveta,voi,ngolia
131,Garissa,garissa township,waberi
132,Garissa,garissa township,galbet
133,Garissa,garissa township,township
134,Garissa,garissa township,iftin
135,Garissa,balambala,balambala
136,Garissa,balambala,danyere
137,Garissa,balambala,jara jara
138,Garissa,balambala,saka
139,Garissa,balambala,sankuri
140,Garissa,lagdera,modogashe
141,Garissa,lagdera,benane
142,Garissa,lagdera,goreale
143,Garissa,lagdera,maalimin
144,Garissa,lagdera,sabena
145,Garissa,lagdera,baraki
146,Garissa,dadaab,dertu
147,Garissa,dadaab,dadaab
148,Garissa,dadaab,labasigale
149,Garissa,dadaab,damajale
150,Garissa,dadaab,liboi
151,Garissa,dadaab,abakaile
152,Garissa,fafi,bura
153,Garissa,fafi,dekaharia
154,Garissa,fafi,jarajila
155,Garissa,fafi,fafi
156,Garissa,fafi,nanighi
157,Garissa,ijara,hulugho
158,Garissa,ijara,sangailu
159,Garissa,ijara,ijara
160,Garissa,ijara,masalani
161,Wajir,wajir north,gurar
162,Wajir,wajir north,bute
163,Wajir,wajir north,korondile
164,Wajir,wajir north,malkagufu
165,Wajir,wajir north,batalu
166,Wajir,wajir north,danaba
167,Wajir,wajir north,godoma
168,Wajir,wajir east,wagberi
169,Wajir,wajir east,township
170,Wajir,wajir east,barwago
171,Wajir,wajir east,khorof harar
172,Wajir,tarbaj,elben
173,Wajir,tarbaj,sarman
174,Wajir,tarbaj,tarbaj
175,Wajir,tarbaj,wargadud
176,Wajir,wajir west,arbajahan
177,Wajir,wajir west,hadado athibohol
178,Wajir,wajir west,ademasajide
179,Wajir,wajir west,wagalla ganyure
180,Wajir,eldas,eldas
181,Wajir,eldas,della
182,Wajir,eldas,lakoley south basir
183,Wajir,eldas,elnur tula tula
184,Wajir,wajir south,benane
185,Wajir,wajir south,burder
186,Wajir,wajir south,dadaja bulla
187,Wajir,wajir south,habasswein
188,Wajir,wajir south,lagboghol south
189,Wajir,wajir south,ibrahim ure
190,Wajir,wajir south,diif
191,Mandera,mandera west,takaba south
192,Mandera,mandera west,takaba
193,Mandera,mandera west,lag sure
194,Mandera,mandera west,dandu
195,Mandera,mandera west,gither
196,Mandera,banissa,banissa
197,Mandera,banissa,derkhale
198,Mandera,banissa,guba
199,Mandera,banissa,malkamari
200,Mandera,banissa,kiliwehiri
201,Mandera,mandera north,ashabito
202,Mandera,mandera north,guticha
203,Mandera,mandera north,morothile
204,Mandera,mandera north,rhamu
205,Mandera,mandera north,rhamu-dimtu
206,Mandera,mandera south,wargudud
207,Mandera,mandera south,kutulo
208,Mandera,mandera south,elwak south
209,Mandera,mandera south,elwak north
210,Mandera,mandera south,shimbir fatuma
211,Mandera,mandera east,arabia
212,Mandera,mandera east,bulla mpya
213,Mandera,mandera east,khalalio
214,Mandera,mandera east,neboi
215,Mandera,mandera east,township
216,Mandera,lafey,libehia
217,Mandera,lafey,fino
218,Mandera,lafey,lafey
219,Mandera,lafey,warankara
220,Mandera,lafey,alungo gof
221,Marsabit,moyale,butiye
222,Marsabit,moyale,sololo
223,Marsabit,moyale,heilu-manyatta
224,Marsabit,moyale,golbo
225,Marsabit,moyale,moyale township
226,Marsabit,moyale,uran
227,Marsabit,moyale,obbu
228,Marsabit,north horr,illeret
229,Marsabit,north horr,north horr
230,Marsabit,north horr,dukana
231,Marsabit,north horr,maikona
232,Marsabit,north horr,turbi
233,Marsabit,saku,sagante jaldesa
234,Marsabit,saku,karare
235,Marsabit,saku,marsabit central
236,Marsabit,laisamis,loiyangalani
237,Marsabit,laisamis,kargi south horr
238,Marsabit,laisamis,korr ngurunit
239,Marsabit,laisamis,log logo
240,Marsabit,laisamis,laisamis
241,Isiolo,isiolo north,wabera
242,Isiolo,isiolo north,bulla pesa
243,Isiolo,isiolo north,chari
244,Isiolo,isiolo north,cherab
245,Isiolo,isiolo north,ngare mara
246,Isiolo,isiolo north,burat
247,Isiolo,isiolo north,oldonyiro
248,Isiolo,isiolo south,garbatulla
249,Isiolo,isiolo south,kinna
250,Isiolo,isiolo south,sericho
251,Meru,igembe south,maua
252,Meru,igembe south,kiegoi antubochiu
253,Meru,igembe south,athiru gaiti
254,Meru,igembe south,akachiu
255,Meru,igembe south,kanuni
256,Meru,igembe central,akirang'ondu
257,Meru,igembe central,athiru ruujine
258,Meru,igembe central,igembe east
259,Meru,igembe central,njia
260,Meru,igembe central,kangeta
261,Meru,igembe north,antuambui
262,Meru,igembe north,ntunene
263,Meru,igembe north,antubetwe kiongo
264,Meru,igembe north,naathu
265,Meru,igembe north,amwathi
266,Meru,tigania west,athwana
267,Meru,tigania west,akithii
268,Meru,tigania west,kianjai
269,Meru,tigania west,nkomo
270,Meru,tigania west,mbeu
271,Meru,tigania east,thangatha
272,Meru,tigania east,mikinduri
273,Meru,tigania east,kiguchwa
274,Meru,tigania east,muthara
275,Meru,tigania east,karama
276,Meru,north imenti,municipality
277,Meru,north imenti,ntima east
278,Meru,north imenti,ntima west
279,Meru,north imenti,nyaki west
280,Meru,north imenti,nyaki east
281,Meru,buuri,timau
282,Meru,buuri,kisima
283,Meru,buuri,kiirua naari
284,Meru,buuri,ruiri rwarera
285,Meru,buuri,kibirichia
286,Meru,central imenti,mwanganthia
287,Meru,central imenti,abothuguchi central
288,Meru,central imenti,abothuguchi west
289,Meru,central imenti,kiagu
290,Meru,south imenti,mitunguu
291,Meru,south imenti,igoji east
292,Meru,south imenti,igoji west
293,Meru,south imenti,abogeta east
294,Meru,south imenti,abogeta west
295,Meru,south imenti,nkuene
296,Tharaka-Nithi,maara,mitheru
297,Tharaka-Nithi,maara,muthambi
298,Tharaka-Nithi,maara,mwimbi
299,Tharaka-Nithi,maara,ganga
300,Tharaka-Nithi,maara,chogoria
301,Tharaka-Nithi,chuka igambang'om,mariani
302,Tharaka-Nithi,chuka igambang'om,karingani
303,Tharaka-Nithi,chuka igambang'om,magumoni
304,Tharaka-Nithi,chuka igambang'om,mugwe
305,Tharaka-Nithi,chuka igambang'om,igambang'ombe
306,Tharaka-Nithi,tharaka,gatunga
307,Tharaka-Nithi,tharaka,mukothima
308,Tharaka-Nithi,tharaka,nkondi
309,Tharaka-Nithi,tharaka,chiakariga
310,Tharaka-Nithi,tharaka,marimanti
311,Embu,manyatta,ruguru ngandori
312,Embu,manyatta,kithimu
313,Embu,manyatta,nginda
314,Embu,manyatta,mbeti north
315,Embu,manyatta,kirimari
316,Embu,manyatta,gaturi south
317,Embu,runyenjes,gaturi north
318,Embu,runyenjes,kagaari south
319,Embu,runyenjes,central  ward
320,Embu,runyenjes,kagaari north
321,Embu,runyenjes,kyeni north
322,Embu,runyenjes,kyeni south
323,Embu,mbeere south,mwea
324,Embu,mbeere south,makima
325,Embu,mbeere south,mbeti south
326,Embu,mbeere south,mavuria
327,Embu,mbeere south,kiambere
328,Embu,mbeere north,nthawa
329,Embu,mbeere north,muminji
330,Embu,mbeere north,evurore
331,Kitui,mwingi north,ngomeni
332,Kitui,mwingi north,kyuso
333,Kitui,mwingi north,mumoni
334,Kitui,mwingi north,tseikuru
335,Kitui,mwingi north,tharaka
336,Kitui,mwingi west,kyome thaana
337,Kitui,mwingi west,nguutani
338,Kitui,mwingi west,migwani
339,Kitui,mwingi west,kiomo kyethani
340,Kitui,mwingi central,central
341,Kitui,mwingi central,kivou
342,Kitui,mwingi central,nguni
343,Kitui,mwingi central,nuu
344,Kitui,mwingi central,mui
345,Kitui,mwingi central,waita
346,Kitui,kitui west,mutonguni
347,Kitui,kitui west,kauwi
348,Kitui,kitui west,matinyani
349,Kitui,kitui west,kwa mutonga kithumula
350,Kitui,kitui rural,kisasi
351,Kitui,kitui rural,mbitini
352,Kitui,kitui rural,kwavonza yatta
353,Kitui,kitui rural,kanyangi
354,Kitui,kitui central,miambani
355,Kitui,kitui central,township
356,Kitui,kitui central,kyangwithya west
357,Kitui,kitui central,mulango
358,Kitui,kitui central,kyangwithya east
359,Kitui,kitui east,zombe mwitika
360,Kitui,kitui east,chuluni
361,Kitui,kitui east,nzambani
362,Kitui,kitui east,voo kyamatu
363,Kitui,kitui east,endau malalani
364,Kitui,kitui east,mutito kaliku
365,Kitui,kitui south,ikanga kyatune
366,Kitui,kitui south,mutomo
367,Kitui,kitui south,mutha
368,Kitui,kitui south,ikutha
369,Kitui,kitui south,kanziko
370,Kitui,kitui south,athi
371,Machakos,masinga,kivaa
372,Machakos,masinga,masinga central
373,Machakos,masinga,ekalakala
374,Machakos,masinga,muthesya
375,Machakos,masinga,ndithini
376,Machakos,yatta,ndalani
377,Machakos,yatta,matuu
378,Machakos,yatta,kithimani
379,Machakos,yatta,ikombe
380,Machakos,yatta,katangi
381,Machakos,kangundo,kangundo north
382,Machakos,kangundo,kangundo central
383,Machakos,kangundo,kangundo east
384,Machakos,kangundo,kangundo west
385,Machakos,matungulu,tala
386,Machakos,matungulu,matungulu north
387,Machakos,matungulu,matungulu east
388,Machakos,matungulu,matungulu west
389,Machakos,matungulu,kyeleni
390,Machakos,kathiani,mitaboni
391,Machakos,kathiani,kathiani central
392,Machakos,kathiani,upper kaewa iveti
393,Machakos,kathiani,lower kaewa kaani
394,Machakos,mavoko,athi river
395,Machakos,mavoko,kinanie
396,Machakos,mavoko,muthwani
397,Machakos,mavoko,syokimau mulolongo
398,Machakos,machakos town,kalama
399,Machakos,machakos town,mua
400,Machakos,machakos town,mutituni
401,Machakos,machakos town,machakos central
402,Machakos,machakos town,mumbuni north
403,Machakos,machakos town,muvuti kiima-kimwe
404,Machakos,machakos town,kola
405,Machakos,mwala,mbiuni
406,Machakos,mwala,makutano  mwala
407,Machakos,mwala,masii
408,Machakos,mwala,muthetheni
409,Machakos,mwala,wamunyu
410,Machakos,mwala,kibauni
411,Makueni,mbooni,tulimani
412,Makueni,mbooni,mbooni
413,Makueni,mbooni,kithungo kitundu
414,Makueni,mbooni,kisau kiteta
415,Makueni,mbooni,waia kako
416,Makueni,mbooni,kalawa
417,Makueni,kilome,kasikeu
418,Makueni,kilome,mukaa
419,Makueni,kilome,kiima kiu kalanzoni
420,Makueni,kaiti,ukia
421,Makueni,kaiti,kee
422,Makueni,kaiti,kilungu
423,Makueni,kaiti,ilima
424,Makueni,makueni,wote
425,Makueni,makueni,muvau kikuumini
426,Makueni,makueni,mavindini
427,Makueni,makueni,kitise kithuki
428,Makueni,makueni,kathonzweni
429,Makueni,makueni,nzaui kilili kalamba
430,Makueni,makueni,mbitini
431,Makueni,kibwezi west,makindu
432,Makueni,kibwezi west,nguumo
433,Makueni,kibwezi west,kikumbulyu north
434,Makueni,kibwezi west,kikumbulyu south
435,Makueni,kibwezi west,nguu masumba
436,Makueni,kibwezi west,emali mulala
437,Makueni,kibwezi east,masongaleni
438,Makueni,kibwezi east,mtito andei
439,Makueni,kibwezi east,thange
440,Makueni,kibwezi east,ivingoni nzambani
441,Nyandarua,kinangop,engineer
442,Nyandarua,kinangop,gathara
443,Nyandarua,kinangop,north kinangop
444,Nyandarua,kinangop,murungaru
445,Nyandarua,kinangop,njabini kiburu
446,Nyandarua,kinangop,nyakio
447,Nyandarua,kinangop,githabai
448,Nyandarua,kinangop,magumu
449,Nyandarua,kipipiri,wanjohi
450,Nyandarua,kipipiri,kipipiri
451,Nyandarua,kipipiri,geta
452,Nyandarua,kipipiri,githioro
453,Nyandarua,ol kalou,karau
454,Nyandarua,ol kalou,kanjuiri ridge
455,Nyandarua,ol kalou,mirangine
456,Nyandarua,ol kalou,kaimbaga
457,Nyandarua,ol kalou,rurii
458,Nyandarua,ol jorok,gathanji
459,Nyandarua,ol jorok,gatimu
460,Nyandarua,ol jorok,weru
461,Nyandarua,ol jorok,charagita
462,Nyandarua,ndaragwa,leshau pondo
463,Nyandarua,ndaragwa,kiriita
464,Nyandarua,ndaragwa,central
465,Nyandarua,ndaragwa,shamata
466,Nyeri,tetu,dedan kimanthi
467,Nyeri,tetu,wamagana
468,Nyeri,tetu,aguthi gaaki
469,Nyeri,kieni,mweiga
470,Nyeri,kieni,naromoru kiamathaga
471,Nyeri,kieni,mwiyogo endarasha
472,Nyeri,kieni,mugunda
473,Nyeri,kieni,gatarakwa
474,Nyeri,kieni,thegu river
475,Nyeri,kieni,kabaru
476,Nyeri,kieni,gakawa
477,Nyeri,mathira,ruguru
478,Nyeri,mathira,magutu
479,Nyeri,mathira,iriaini
480,Nyeri,mathira,konyu
481,Nyeri,mathira,kirimukuyu
482,Nyeri,mathira,karatina town
483,Nyeri,othaya,mahiga
484,Nyeri,othaya,iria-ini
485,Nyeri,othaya,chinga
486,Nyeri,othaya,karima
487,Nyeri,mukurweini,gikondi
488,Nyeri,mukurweini,rugi
489,Nyeri,mukurweini,mukurwe-ini west
490,Nyeri,mukurweini,mukurwe-ini central
491,Nyeri,nyeri town,kiganjo mathari
492,Nyeri,nyeri town,rware
493,Nyeri,nyeri town,gatitu muruguru
494,Nyeri,nyeri town,ruring'u
495,Nyeri,nyeri town,kamakwa mukaro
496,Kirinyaga,mwea,mutithi
497,Kirinyaga,mwea,kangai
498,Kirinyaga,mwea,thiba
499,Kirinyaga,mwea,wamumu
500,Kirinyaga,mwea,nyangati
501,Kirinyaga,mwea,murinduko
502,Kirinyaga,mwea,gathigiriri
503,Kirinyaga,mwea,tebere
504,Kirinyaga,gichugu,kabare
505,Kirinyaga,gichugu,baragwi
506,Kirinyaga,gichugu,njukiini
507,Kirinyaga,gichugu,ngariama
508,Kirinyaga,gichugu,karumandi
509,Kirinyaga,ndia,mukure
510,Kirinyaga,ndia,kiine
511,Kirinyaga,ndia,kariti
512,Kirinyaga,kirinyaga central,mutira
513,Kirinyaga,kirinyaga central,kanyeki-ini
514,Kirinyaga,kirinyaga central,kerugoya
515,Kirinyaga,kirinyaga central,inoi
516,Murang'a,kangema,kanyenyaini
517,Murang'a,kangema,muguru
518,Murang'a,kangema,rwathia
519,Murang'a,mathioya,gitugi
520,Murang'a,mathioya,kiru
521,Murang'a,mathioya,kamacharia
522,Murang'a,kiharu,wangu
523,Murang'a,kiharu,mugoiri
524,Murang'a,kiharu,mbiri
525,Murang'a,kiharu,township
526,Murang'a,kiharu,murarandia
527,Murang'a,kiharu,gaturi
528,Murang'a,kigumo,kahumbu
529,Murang'a,kigumo,muthithi
530,Murang'a,kigumo,kigumo
531,Murang'a,kigumo,kangari
532,Murang'a,kigumo,kinyona
533,Murang'a,maragwa,kimorori wempa
534,Murang'a,maragwa,makuyu
535,Murang'a,maragwa,kambiti
536,Murang'a,maragwa,kamahuha
537,Murang'a,maragwa,ichagaki
538,Murang'a,maragwa,nginda
539,Murang'a,kandara,ng'araria
540,Murang'a,kandara,muruka
541,Murang'a,kandara,kagundu-ini
542,Murang'a,kandara,gaichanjiru
543,Murang'a,kandara,ithiru
544,Murang'a,kandara,ruchu
545,Murang'a,gatanga,ithanga
546,Murang'a,gatanga,kakuzi mitubiri
547,Murang'a,gatanga,mugumo-ini
548,Murang'a,gatanga,kihumbu-ini
549,Murang'a,gatanga,gatanga
550,Murang'a,gatanga,kariara
551,Kiambu,gatundu south,kiamwangi
552,Kiambu,gatundu south,kiganjo
553,Kiambu,gatundu south,ndarugu
554,Kiambu,gatundu south,ngenda
555,Kiambu,gatundu north,gituamba
556,Kiambu,gatundu north,githobokoni
557,Kiambu,gatundu north,chania
558,Kiambu,gatundu north,mang'u
559,Kiambu,juja,murera
560,Kiambu,juja,theta
561,Kiambu,juja,juja
562,Kiambu,juja,witeithie
563,Kiambu,juja,kalimoni
564,Kiambu,thika town,township
565,Kiambu,thika town,kamenu
566,Kiambu,thika town,hospital
567,Kiambu,thika town,gatuanyaga
568,Kiambu,thika town,ngoliba
569,Kiambu,ruiru,gitothua
570,Kiambu,ruiru,biashara
571,Kiambu,ruiru,gatongora
572,Kiambu,ruiru,kahawa sukari
573,Kiambu,ruiru,kahawa wendani
574,Kiambu,ruiru,kiuu
575,Kiambu,ruiru,mwiki
576,Kiambu,ruiru,mwihoko
577,Kiambu,githunguri,githunguri
578,Kiambu,githunguri,githiga
579,Kiambu,githunguri,ikinu
580,Kiambu,githunguri,ngewa
581,Kiambu,githunguri,komothai
582,Kiambu,kiambu,ting'ang'a
583,Kiambu,kiambu,ndumberi
584,Kiambu,kiambu,riabai
585,Kiambu,kiambu,township
586,Kiambu,kiambaa,cianda
587,Kiambu,kiambaa,karuri
588,Kiambu,kiambaa,ndenderu
589,Kiambu,kiambaa,muchatha
590,Kiambu,kiambaa,kihara
591,Kiambu,kabete,gitaru
592,Kiambu,kabete,muguga
593,Kiambu,kabete,nyadhuna
594,Kiambu,kabete,kabete
595,Kiambu,kabete,uthiru
596,Kiambu,kikuyu,karai
597,Kiambu,kikuyu,nachu
598,Kiambu,kikuyu,sigona
599,Kiambu,kikuyu,kikuyu
600,Kiambu,kikuyu,kinoo
601,Kiambu,limuru,bibirioni
602,Kiambu,limuru,limuru central
603,Kiambu,limuru,ndeiya
604,Kiambu,limuru,limuru east
605,Kiambu,limuru,ngecha tigoni
606,Kiambu,lari,kinale
607,Kiambu,lari,kijabe
608,Kiambu,lari,nyanduma
609,Kiambu,lari,kamburu
610,Kiambu,lari,lari kirenga
611,Turkana,turkana north,kaeris
612,Turkana,turkana north,lake zone
613,Turkana,turkana north,lapur
614,Turkana,turkana north,kaaleng kaikor
615,Turkana,turkana north,kibish
616,Turkana,turkana north,nakalale
617,Turkana,turkana west,kakuma
618,Turkana,turkana west,lopur
619,Turkana,turkana west,letea
620,Turkana,turkana west,songot
621,Turkana,turkana west,kalobeyei
622,Turkana,turkana west,lokichoggio
623,Turkana,turkana west,nanaam
624,Turkana,turkana central,kerio delta
625,Turkana,turkana central,kang'atotha
626,Turkana,turkana central,kalokol
627,Turkana,turkana central,lodwar township
628,Turkana,turkana central,kanamkemer
629,Turkana,loima,kotaruk lobei
630,Turkana,loima,turkwel
631,Turkana,loima,loima
632,Turkana,loima,lokiriama lorengippi
633,Turkana,turkana south,kaputir
634,Turkana,turkana south,katilu
635,Turkana,turkana south,lobokat
636,Turkana,turkana south,kalapata
637,Turkana,turkana south,lokichar
638,Turkana,turkana east,kapedo napeitom
639,Turkana,turkana east,katilia
640,Turkana,turkana east,lokori kochodin
641,West Pokot,kapenguria,riwo
642,West Pokot,kapenguria,kapenguria
643,West Pokot,kapenguria,mnagei
